pl	lx	note
Jeśli ja jeść świnia, ja pić woda.	jiao ao ji tuno-zhun, ao ju zhe.	synthetic
On/ona słuchać perła	cou fu kang-eng mo	synthetic
My negacja (nie) wiedzieć krawiec.	lano daoo ga sou-mei.	synthetic
Wracać miejsce.	cu re-mang.	synthetic
On/ona partykuła posiadania/określenia kino.	cou zhai xiang-ba.	synthetic
Jeśli ty jeść skręcenie, ty pić woda.	jiao nio ji mo-rua, nio ju zhe.	synthetic
Ty mówić kwadratowy kształt	nio bi zhe-tui mo	synthetic
My mówić bodhisattwa.	lano bi pan-gong.	synthetic
Ja słuchać ktoś	ao fu she mo	synthetic
Jeśli ja jeść pewność, ja pić woda.	jiao ao ji sao-niang, ao ju zhe.	synthetic
On/ona pić strażnik, protektor.	cou ju ding-sang.	synthetic
Ja partykuła posiadania/określenia kciuk.	ao zhai shai-lou.	synthetic
Ty negacja (nie) jeść bodhisattwa.	nio daoo ji pan-gong.	synthetic
My mówić szpilka do włosów.	lano bi jiong-kuan.	synthetic
Ja mówić naprzeciwko.	ao bi seng-zui.	synthetic
Ja negacja (nie) słuchać czysty.	ao daoo fu cha-hui.	synthetic
Ty partykuła posiadania/określenia z przodu.	nio zhai ma-ti.	synthetic
Ja słuchać łączyć, jednoczyć.	ao fu duo-mian.	synthetic
On/ona słuchać jakość	cou fu ming-en mo	synthetic
Ja wiedzieć jaskółka	ao ga yeno-cou mo	synthetic
Ja partykuła posiadania/określenia produkty mleczne.	ao zhai xue-xian.	synthetic
Ty jeść wznosić (budowlę)	nio ji cheng-lu mo	synthetic
On/ona być niezły, dobry.	cou ai nue-han.	synthetic
Ja partykuła posiadania/określenia teraz.	ao zhai nun.	synthetic
Jeśli ty jeść głęboki, ty pić woda.	jiao nio ji cui-ca, nio ju zhe.	synthetic
My pić wznosić (budowlę)	lano ju cheng-lu mo	synthetic
My negacja (nie) pić deszcz.	lano daoo ju yuo.	synthetic
Jeśli on/ona jeść autorytet, on/ona pić woda.	jiao cou ji run-hai, cou ju zhe.	synthetic
Ja partykuła posiadania/określenia kondensacja.	ao zhai rao-nian.	synthetic
Jeśli ty jeść szósty, ty pić woda.	jiao nio ji zai-ji, nio ju zhe.	synthetic
On/ona pochodzić z / wywodzić się miejsce.	cou rǎo-ci re-mang.	synthetic
On/ona być zły.	cou ai nuo.	synthetic
Jeśli ty jeść zabić, ty pić woda.	jiao nio ji pi, nio ju zhe.	synthetic
On/ona zostać.	cou wo.	synthetic
My mówić też.	lano bi yueo.	synthetic
My negacja (nie) jeść dzień.	lano daoo ji jian.	synthetic
My negacja (nie) jeść potwierdzić.	lano daoo ji duo-kuan.	synthetic
Ja mówić rząd.	ao bi dai-ran.	synthetic
Ty słuchać syndrom gorąca.	nio fu qio-mian.	synthetic
On/ona słuchać czapla biała.	cou fu te-bian.	synthetic
On/ona negacja (nie) pić świat.	cou daoo ju fa-gu.	synthetic
Ja słuchać szpilka do włosów	ao fu jiong-kuan mo	synthetic
Ja słuchać górska ścieżka	ao fu sheng-bai mo	synthetic
Ja partykuła posiadania/określenia Cesarzowa wdowa.	ao zhai tie-dei.	synthetic
Ja wracać.	ao cu.	synthetic
Ja pić wybrzeże.	ao ju haio-qin.	synthetic
My pić odcinać.	lano ju zeng-ai.	synthetic
Ja negacja (nie) mówić zasoby.	ao daoo bi beng-rou.	synthetic
Ty wiedzieć złoto	nio ga huaio mo	synthetic
Jeśli ty jeść czysty, ty pić woda.	jiao nio ji cha-hui, nio ju zhe.	synthetic
On/ona słuchać nosorożec.	cou fu ruo-nie.	synthetic
My partykuła posiadania/określenia rozpocząć podróż.	lano zhai chu-xun.	synthetic
Ja pić pozdrawiać.	ao ju pai-yu.	synthetic
My negacja (nie) jeść ukośna w lewo.	lano daoo ji nin-ding.	synthetic
Ja zostać.	ao wo.	synthetic
My słuchać pielęgnowanie życia	lano fu xiu-nei mo	synthetic
Ja pić zacząć	ao ju te mo	synthetic
My mówić zamknąć.	lano bi tao.	synthetic
Ja partykuła posiadania/określenia morwa.	ao zhai hua-nuan.	synthetic
My negacja (nie) słuchać proces.	lano daoo fu dang-ban.	synthetic
Jeśli my jeść gdzie, my pić woda.	jiao lano ji hen-yuan, lano ju zhe.	synthetic
On/ona negacja (nie) jeść pasmo górskie.	cou daoo ji he-shuang.	synthetic
My słuchać dobry przyjaciel.	lano fu de-wu.	synthetic
Ja partykuła posiadania/określenia często.	ao zhai nang-diao.	synthetic
Ty partykuła posiadania/określenia władca, monarcha.	nio zhai zhun-cui.	synthetic
On/ona mówić czapla biała	cou bi te-bian mo	synthetic
Ty przyjść.	nio ci.	synthetic
Jeśli ty jeść lis, ty pić woda.	jiao nio ji hulo-bi, nio ju zhe.	synthetic
On/ona jeść kaczka mandarynka (para).	cou ji yamo-ma.	synthetic
Jeśli on/ona jeść wieszać, zawieszać, on/ona pić woda.	jiao cou ji hun-long, cou ju zhe.	synthetic
My pić hafciarka	lano ju nai-fen mo	synthetic
Ja pić sala przodków.	ao ju ce-cao.	synthetic
On/ona negacja (nie) pić spichlerz.	cou daoo ju heng-nen.	synthetic
Ja negacja (nie) pić dokument.	ao daoo ju lai-kei.	synthetic
Jeśli my jeść dziwny, osobliwy, my pić woda.	jiao lano ji zan-hu, lano ju zhe.	synthetic
Ty mówić punkt akupunkturowy.	nio bi yang-nue.	synthetic
Ty mówić ciąć	nio bi pa mo	synthetic
Ty negacja (nie) jeść decydować.	nio daoo ji yu-kao.	synthetic
Ty pić perła	nio ju kang-eng mo	synthetic
Jeśli on/ona jeść nadzieja, on/ona pić woda.	jiao cou ji di-zao, cou ju zhe.	synthetic
Ja negacja (nie) słuchać marmur.	ao daoo fu ne-cuan-wo.	synthetic
Ty wiedzieć oczywiście.	nio ga nei-niao.	synthetic
Ja jeść sąsiad	ao ji biao-huai mo	synthetic
On/ona jeść wzdychać	cou ji liao-qiao mo	synthetic
My jeść lis.	lano ji hulo-bi.	synthetic
Ja jeść wino	ao ji geng mo	synthetic
On/ona wiedzieć uczucie (dotyk).	cou ga huo-pie.	synthetic
My jeść żółty	lano ji nou mo	synthetic
Ja słuchać bogactwo	ao fu rong-cang mo	synthetic
On/ona wiedzieć przeciwstawiać	cou ga lang-tuan mo	synthetic
Jeśli ja jeść oczywiście, ja pić woda.	jiao ao ji nei-niao, ao ju zhe.	synthetic
My pić miąższ owocu.	lano ju duano-sai.	synthetic
My negacja (nie) wiedzieć jabłko.	lano daoo ga guoo-shang.	synthetic
My mówić umowa	lano bi yong-huo mo	synthetic
On/ona negacja (nie) jeść ściereczka do herbaty.	cou daoo ji wang-cha.	synthetic
Jeśli ty jeść częściowo pochmurnie, ty pić woda.	jiao nio ji tiano-gou, nio ju zhe.	synthetic
Ja partykuła posiadania/określenia zwycięstwo.	ao zhai a-qian.	synthetic
Jeśli my jeść wół, my pić woda.	jiao lano ji bing-wo, lano ju zhe.	synthetic
Ty partykuła posiadania/określenia bodhisattwa.	nio zhai pan-gong.	synthetic
Ty słuchać powodzenia.	nio fu liu-hu.	synthetic
Ty pić gotowany ryż	nio ju fano-sheng mo	synthetic
On/ona mówić nadmiernie.	cou bi nang-niang.	synthetic
Jeśli my jeść przekazywać, my pić woda.	jiao lano ji jie-wu, lano ju zhe.	synthetic
On/ona partykuła posiadania/określenia gałązki cynamonu.	cou zhai liao-shang.	synthetic
Ty negacja (nie) pić wybór, selekcja.	nio daoo ju pian-feng.	synthetic
Ja partykuła posiadania/określenia ryż.	ao zhai fano.	synthetic
Ty negacja (nie) wiedzieć zdenerwowany, spięty.	nio daoo ga nun-zhuo.	synthetic
On/ona jeść zezwalać.	cou ji can-ling.	synthetic
Ty partykuła posiadania/określenia zimny.	nio zhai weno-fei.	synthetic
Ja pić list, korespondencja.	ao ju kan-duo.	synthetic
Jeśli my jeść miska, my pić woda.	jiao lano ji gong, lano ju zhe.	synthetic
Jeśli ty jeść przerywać, ty pić woda.	jiao nio ji shan-yun, nio ju zhe.	synthetic
Ja negacja (nie) słuchać żółty.	ao daoo fu nou.	synthetic
Iść miejsce.	ce re-mang.	synthetic
Ja mówić krew.	ao bi cong.	synthetic
Ja mówić każdy.	ao bi kun.	synthetic
My partykuła posiadania/określenia odepchnąć.	lano zhai fan-keng.	synthetic
Jeśli ty jeść jego Wysokość (cesarz), ty pić woda.	jiao nio ji fu-diu, nio ju zhe.	synthetic
On/ona partykuła posiadania/określenia palić kadzidło.	cou zhai feng-zhuan.	synthetic
My negacja (nie) wiedzieć glina.	lano daoo ga la-sha.	synthetic
Ty partykuła posiadania/określenia szósty.	nio zhai zai-ji.	synthetic
Jeśli my jeść pismo urzędowe, my pić woda.	jiao lano ji muo-niu, lano ju zhe.	synthetic
Ja partykuła posiadania/określenia pić.	ao zhai ju.	synthetic
My pić tymczasowy	lano ju luo-gai mo	synthetic
My partykuła posiadania/określenia deszcz.	lano zhai yuo.	synthetic
Jeśli on/ona jeść żołnierz, on/ona pić woda.	jiao cou ji fou-bing, cou ju zhe.	synthetic
Ty mówić taktyka.	nio bi mao-xie.	synthetic
My pić krew.	lano ju cong.	synthetic
Jeśli my jeść wybór, selekcja, my pić woda.	jiao lano ji pian-feng, lano ju zhe.	synthetic
Ty być niezły, dobry.	nio ai nue-han.	synthetic
Ty pić sroka.	nio ju queo-zha.	synthetic
My pić bicie dzwonu.	lano ju shun-you.	synthetic
Ty negacja (nie) mówić planować.	nio daoo bi shen-jing.	synthetic
Jeśli on/ona jeść zezwalać, on/ona pić woda.	jiao cou ji can-ling, cou ju zhe.	synthetic
On/ona partykuła posiadania/określenia włosy na głowie.	cou zhai hen-lun.	synthetic
Ty słuchać niebo	nio fu tiano mo	synthetic
On/ona negacja (nie) jeść wróżbiarstwo.	cou daoo ji tian-hen.	synthetic
Ty słuchać ciemność.	nio fu ting-gua.	synthetic
Jeśli ja jeść pić, ja pić woda.	jiao ao ji ju, ao ju zhe.	synthetic
My partykuła posiadania/określenia pokolenie (starsze/młodsze).	lano zhai jue-keng.	synthetic
My wiedzieć dać	lano ga dio mo	synthetic
On/ona mówić natychmiast.	cou bi zei-shi.	synthetic
Ty słuchać jedzenie	nio fu shio-deng mo	synthetic
Ty mówić trzydzieści.	nio bi chen-yue.	synthetic
My jeść skręcenie	lano ji mo-rua mo	synthetic
Jeśli ja jeść owocowy zapach, ja pić woda.	jiao ao ji duano-meng, ao ju zhe.	synthetic
On/ona negacja (nie) jeść zabić.	cou daoo ji pi.	synthetic
Jeśli on/ona jeść czapla biała, on/ona pić woda.	jiao cou ji te-bian, cou ju zhe.	synthetic
Jeśli ty jeść dzień, ty pić woda.	jiao nio ji jian, nio ju zhe.	synthetic
On/ona negacja (nie) wiedzieć głód.	cou daoo ga sen-zhua.	synthetic
Ty mówić wybór, selekcja	nio bi pian-feng mo	synthetic
Ty partykuła posiadania/określenia wewnętrzna moc.	nio zhai xiaoo-ce.	synthetic
My wiedzieć przesilenie zimowe	lano ga qie-pu mo	synthetic
On/ona mówić pyłek kwiatowy.	cou bi xie-ga.	synthetic
My mówić potrząsać, kiwać	lano bi piao-ju mo	synthetic
My negacja (nie) wiedzieć pić.	lano daoo ga ju.	synthetic
Ja partykuła posiadania/określenia kałamarnica.	ao zhai tou-chun.	synthetic
Ty jeść pić.	nio ji ju.	synthetic
Ty być smutny.	nio ai beio-nian.	synthetic
On/ona jeść zwycięstwo.	cou ji a-qian.	synthetic
My mówić niemożliwy do....	lano bi qiong-chui.	synthetic
Jeśli on/ona jeść meteor, spadająca gwiazda, on/ona pić woda.	jiao cou ji guango-sun, cou ju zhe.	synthetic
On/ona słuchać kontynuować	cou fu bie-seng mo	synthetic
Ja pić hałaśliwy	ao ju kuang-hen mo	synthetic
My partykuła posiadania/określenia terapia.	lano zhai yang-zhai.	synthetic
My wiedzieć brzoskwinia.	lano ga guoo-nuo.	synthetic
Ja negacja (nie) wiedzieć szafa.	ao daoo ga eng-shu.	synthetic
Ty negacja (nie) wiedzieć krosno.	nio daoo ga gei-cou.	synthetic
Jeśli ja jeść zamknąć, ja pić woda.	jiao ao ji tao, ao ju zhe.	synthetic
Ja jeść często	ao ji nang-diao mo	synthetic
Ty mówić sala Buddy.	nio bi ma-chao.	synthetic
Ty partykuła posiadania/określenia kondensacja.	nio zhai rao-nian.	synthetic
Ja negacja (nie) słuchać syndrom gorąca.	ao daoo fu qio-mian.	synthetic
Ja partykuła posiadania/określenia deszcz zbóż.	ao zhai yuo-ben.	synthetic
Ja partykuła posiadania/określenia wschód.	ao zhai fang-dong.	synthetic
Ja mówić rozmiar	ao bi ce-dian mo	synthetic
Jeśli my jeść porcelana, my pić woda.	jiao lano ji zhui-o, lano ju zhe.	synthetic
Jeśli ja jeść porcelana, ja pić woda.	jiao ao ji zhui-o, ao ju zhe.	synthetic
Ty partykuła posiadania/określenia smarować (farbą).	nio zhai qie-wa.	synthetic
Jeśli on/ona jeść trochę, on/ona pić woda.	jiao cou ji xun, cou ju zhe.	synthetic
My negacja (nie) jeść rodzina od żony.	lano daoo ji miao-xuan.	synthetic
Ty partykuła posiadania/określenia Cesarzowa wdowa.	nio zhai tie-dei.	synthetic
On/ona mówić oparzenie.	cou bi ni-gu.	synthetic
Jeśli ty jeść żona, ty pić woda.	jiao nio ji miao-you, nio ju zhe.	synthetic
Ja partykuła posiadania/określenia szczypce.	ao zhai tang-bai.	synthetic
Jeśli on/ona jeść bogactwo, on/ona pić woda.	jiao cou ji rong-cang, cou ju zhe.	synthetic
Jeśli ty jeść aksamitny, ty pić woda.	jiao nio ji zang-fou, nio ju zhe.	synthetic
Ja negacja (nie) wiedzieć zdrowy.	ao daoo ga qin.	synthetic
On/ona mówić doktor (stopień)	cou bi lei-gun mo	synthetic
