# Hasła bez symetrycznego odwzorowania
Cesarz	gong-piao
gaza	ca-zui
gigantyczny	bie-men-xin
gigantyczny	wen-reng
gnać	chua-chu
gorliwy	ne-chong
gorzelnik	cheng-yuan
gotowana woda	zhe-heng
gotowany	mou-tao
grillować	kaoo-jin
guan-Ruan	dao-tuan
guanyin	rao-en
guqin	juan-bin
guzheng	tian-jian
gwałtowny	cang-bing
gwiazda)	guango-die
gwiazda)	guango-ku
główny	kuai-zei
głęboki smutek	beio-shuo
haczyk	guang-nang
hala pałacowa	nian-se
handel	jian-lang
heijiro	heijiro
hipokryta	de-shun
historia	ban-zhan
historyczne	luan-huai
honor	rongo
hołd	jue-tiao
huk	chuang-rui
iluzja	zan-shou
indygo	caoo-cuo
informacja	shuang-zhan
inny	lang-du
inteligentny	geng-wai
intensywny	zuo-zhou
interesujący	qu-yuan
intryga	cun-ze
istnieć	pang-hang
iść pieszo	di-cu
jade	chan-ruo
jak	kuang-miu
jak, podobny do	kuang-miu
jaspis	chan-ruo
jastrząb	yingo-tou
jednoczyć	duo-mian
jego Wysokość	fu-diu
junior	ru-ce
kaczka mandarynka	yamo-ma
kamień)	zhio-chu-o
kanclerz	gui-lai
kawałek	xiong-wa
kiedyś	man-jiu
kiwać	piao-ju
klamra	guang-nang
klanu	kuo-kun
kleik ryżowy	fano-jun
kolosalny	bie-men-xin
komfortowy	se-qi
kompletny	si-zhai
kompozycja pisemna	sheng-ben
konfuzja	dia-hen
kongie	fano-jun
konserwować	can-xiang
konsultować	wu-gui
konsumować	zai-wu
korespondencja	kan-duo
kostka	dian-lao
kosz	pai-xia
koszt	che-hong
kraj	li-ying
krok	zou-gui
kruchy	xin-pan
kryzys	she-nei
krzyczeć	bian-hen
królik	tuo-jiang
ksitigarbha	geng-zao
książę	lian-chuan
kultywować	gong-zuan
kung cuan-se	gang-bin
kung cuan-se	tun-dia
kuzyn	hai-ni
kuzyn (starszy	hai-ni
kłuć	gu-che
lazurowy smok	lian-zei
lekarstwo	zhao-ruo
lekcja	lie-shua
lekka umiejętność	ken-pa
lekkość	yun-bing
lianyu	lianyu
liczba mnoga	sen
liczyć	shang-shan
lina	ting-cen
linia	tao-fou
liryka	ya-ju
lis używający tygrysiej siły	tigo-lun
list	kan-duo
literat	kai-du
litościwy	hou-ke
lodowaty	zeng-luan
lojalność	mo-chou
los	leng-dou
los	piao-pai
lśniący	diu-zhai
maitreya	sha-hou
maleńki	mang-lao
mandarynka	guoo-en
marzenie	dian-kan
marzenie, sen	dian-kan
mata	ken-xing
mata	suo-niao
medytować	pa-hen
meteor	guango-sun
metoda	chai-mie
metoda serca	xiang-zhang
mglisty	diu-hei
miasto	jiong-seng
miecz	fen-mai
mieszać	bano-xin
mieć	pang-hang
mieć granice	qie-min
mistrz	chen-zhang
mistrz	cheng-chen
mistrz (ogólne	cheng-chen
miękka droga	chuang-cao
miłość	qu-zhou
moc	zhi-zhai
mokradła	huai-luan
mokry	shio-wai
monarcha	zhun-cui
mroźny	zeng-luan
muszla	beo-za
muślin	ca-zui
mysz	rao-mo
myć	cha-jing
myśli)	mie-tang
mądry	geng-wai
mądry	kai-ha
mężny	sou-yu
młodsze)	jue-keng
na podstawie	zhuang-wei
naczynie	ei-cuo
najwyższa ostateczność	niao-tuan
naleśnik	shuo-sou
namiot	lie-luan
narracja	chi-cong
naruszyć	wen-fang
natura	ao-long
natura serca	cu-ti
natura, charakter	ao-long
natychmiast	chun-xue
nauka walki	ma-zuan
negacja	daoo
nerka	duan-cuan
niebezpieczeństwo	she-nei
niedbale	chua-zhuang
niegdyś	man-jiu
niegrzeczny	bang-bai
niejasny	diu-hei
nienawistny	dun-sa
nienawiść	ri-xun
niepełny	men-da
niepokoić	yin-beng
niepokój	chuo-niang
nieustraszony	sou-yu
niewyraźny	cao-hun
niewzruszony	sheng-liao
niezmien ny	hui-leng
niezły	nue-han
nieśmiertelny	dai-pa
obcy	wai-que
obliczać	shang-shan
obojętny	dong-shuan
oceniać	nou-ju
oceniać	zun-ding
od	rǎo
od (źródło)	rǎo
od matki)	hai-ni
od niechcenia	chua-zhuang
oddychanie	ye-hu
odnawiać	wei-bin
odpowiedź	ha-gong
odpychający	ju-jia
odrodzić się	zhen-si
odwrócić	chan-shun
ofiara	lu-rui
ograniczony	qie-min
ogromny	wen-reng
ohydny	ju-jia
okazja	wang-shen
okoliczności	nie-zhuai
określenia	zhai
określony	cha-suo
okrutny	nei-sun
omawiać	wu-gui
on	cou
ona	cou
one	lin
oni	lin
opanować	duan-luo
opowiadanie	chi-cong
opowieść	ban-zhan
opuścić	deo-re
opuścić	sun-jin
opuścić się	ga-juan
organizować	muo-zheng
osobliwy	zan-hu
ostry	se-nu
osądzać	zun-ding
otrzymać	ceng-en
otrzymać	zhu-dun
otrzymywać	chu-pei
otworzyć	chan-shun
padać	yuo-nen
paifang	ye-cai
pamięć	hui-ce
pan	cao-kuang
pancerz	dian-ben
papier	zhio-chu-o
para	pai-nu
para (ludzi	pai-nu
partykuła posiadania	zhai
pałac	nian-se
państwo	li-ying
piec	kaoo-jin
piekarz	die-pin
pierś	ri-xu
pijać	chong-mi
pikantny	se-nu
piętro	cuo-pang
placek	shuo-sou
plotka	wo-ba
pochodzić z	rǎo-ci
pocieszenie	yin-gai
początkujący	chan-geng
pod Niebem	san-wang
podać	gou-ai
podnieść	lan-ba
podobny do	kuang-miu
podobny do (spójnik)	kuang-miu
podstawowy	kuai-zei
podupadać	nie-wu
podziw	dai-pai
poezja	cong-ni
pogłoska	wo-ba
poinformować	ci-cang
pojazd	quan-wa
pokolenie	jue-keng
pokolenie (starsze	jue-keng
pokorny ja	hua-sha
pokorny sługa	kei-hou
pole	man-pu
pole eliksiru	weng-zhong
pomarańcza	guoo-en
pomocniczy	zi-lang
pomyśleć o	ruo-ni
ponieważ	gun
porządkować	muo-zheng
porządnie	suo-zhua
postawić	zhun-pao
postępować	ning-pian
posyłać	ting-gen
poszukiwanie	zhun-nun
potrząsać	piao-ju
potrząsać głową	cui-gong
potrójny ogrzewacz	kua-gun
potwierdzenie (marker)	ban
potwór	hao-quan
poważnie	tiao-ne
powiedzieć	ci-cang
powstać	zhen-si
poziom	bian-na
poznać	wu-hun
położyć	zhun-pao
pożyczyć	cou-bai
praca domowa	cang-jiu
pragnąć	wan-lang
praktykować	rang-gun
prawidłowość	kui-gong
prawo	zong-zong
prawość	han-tou
precyzyjny	liao-ri
premier	gui-lai
pretensja	ting-jia
proces	zen-fu
protektor	ding-sang
prymitywny	nano-xu
przechowywać	zhui-sao
przeciętny	shuan-ei
przedstawiać	fou-duan
przedłużać	tian-jie
przekazać	gou-ai
przekonanie	te-teng
przekąska	fano-chui
przemawiać	e-liao
przemyśleć	ya-chu
przepis	pie-tun
przeszkadzać	yin-beng
przeznaczenie	leng-dou
przeznaczenie	piao-pai
przybysz	wai-que
przybyć	tiao-chou
przygotować z wyprzedzeniem	jio-shou
przyjmować	gao-feng
przyjąć	ceng-en
przyjąć	lie-xu
przyjęcie	chua-fa
przyklejać	guai-pao
przyrząd	ei-cuo
przysmak	fano-chui
przystojny	ne-lai
przywracać	niang-xin
przywódca szkoły	xia-rang
przyznawać	dang-zhong
próby	kuo-nie-gui
psotny	bang-bai
pułapka	nin-pin
półka	meng-zhui
pędzić	chua-chu
płakać	beio-miu
radość	huano-wang
ramię	dang-ruo
raportować	fang-tou
regał	meng-zhui
reguła	pie-tun
reishi	la-xian
rejestrować	bian-deng
relacja	zan-ren
ren-zhai	rong-man
rezerwować	jio-shou
rezultat	cun-kuang
rodzinna wioska	jiong-seng
rozbierać	cuan-yong
rozciągać	tian-jie
rozdzielać	guo-liang
rozkaz wojskowy	qi-xi
rozmieszczenie	ji-ci
rozpoznać	wu-hun
rozumieć	tao-kang
rozważać	ya-chu
rozwijać	ning-pian
rozwiązanie	ha-gong
ruch	weng-liu
rytuał	miao-ju
rzadki	eng-hei
rzecz	mian-ao
rzeczy)	pai-nu
rzeczywisty	shuai-ga
rzepa	nai-yan
rzodkiew	nai-yan
różny	lang-du
samantabhadra	he-ceng
sanktuarium	kei-qu
satysfakcja	huano-kui
scalać	se-si
schludny	pin-jiang
sekty	xia-rang
selekcja	pian-feng
sen	dian-kan
sen (aspiracja)	dian-kan
senior	mi-shui
sens	kun-hong
sfera	bian-na
sidła	nin-pin
siostra cioteczna	bai-xiong
siostra stryjeczna	kuang-kai
skorupiak	beo-za
skrobać	fen-shuo
skrucha	beio-mou
skutek	cun-kuang
składać	dun-mang
składać (papier	dun-mang
smaczny	jiu-long
smarować	qie-wa
smażony	da-wang
smutek	beio-zhang
sokół	yingo-tou
spadająca gwiazda	guango-sun
spaść	ga-juan
specjalny	nuo-ken
spisek	cun-ze
spięty	nun-zhuo
sposób	chai-mie
sprawa	mian-ao
sprawiedliwość	han-tou
spór	dang-hang
srebro	shun-den
stabilny	sheng-liao
stan	zhui-lou
starannie	tiao-ne
starszy współuczeń	ma-xie
statek	ha-jing
stawać się	yu-fa
stały	hui-leng
stolarz	xin-hou
stosować	fou-ti
strach	ru-she
strażnik	ding-sang
subtelny	zha-mang
sugestia	ban
sugestia/potwierdzenie	ban
syn Niebios	mei-ta
syriusz	guango-ao
sytuacja	nie-zhuai
szabla	fen-mai
szal	si-mo
szanowny panie	ka-xin
szansa	wang-shen
szanujące)	cheng-chen
szczególny	nuo-ken
szczur	rao-mo
szczęście	huano-wang
szczęśliwy	huano-tai
szlachetny	gui
sznur	ting-cen
sztandar	miu-du
sztuka ręki	jun-qi
sztuka ręki (japoński termin	jun-qi
sztuka walki	tun-dia
sztuki	ma-zuan
szukać drogi	nue-ze
sądzić	nong-wai
sądzić	zen-fu
słodki	niang-zou
technika ciała	weng-liu
terminy solarne	tun-zhang
też dobrze	zhang-nie
tkaninę)	dun-mang
tolerancyjny	la-seng
torba	cao-gou
transakcja	jian-lang
trenować	gong-zuan
troskliwy	kao-dao
trudne testy	kuo-nie-gui
trudno	laio-shun
trwać	zhuang-en
trzask	tuo-lao-suan
tusz	zhio-chu-o
tyka	miu-nin
uczony	kai-du
uczucie	huo-pie
uderzenie z fintą	zeng-niu-miu
ugotowany	mou-tao
ukojenie	yin-gai
ukryty smok	tigo-ge
ukryty smok, czający się tygrys	tigo-ge
ulka	nun-jiao
umiarkowanie	mei-chi
umiejętność	gang-bin
umysłu	cu-ti
umysłu	xiang-zhang
uporządkowany	pin-jiang
uraza	ting-jia
uroczy	niang-zou
uszkodzony	men-da
uszkodzony	mou-kui
utrzymywać	can-xiang
utwór	juan-tuo
uważać że	nong-wai
uznanie	dai-pai
uznawać	dang-zhong
użyj miękkości	ci-die
w porządku	zhang-nie
warstwa	cuo-pang
wartościować	nou-ju
warunki	zhui-lou
warzyć	shun-bu
wdzięczność	mi-ben
według	zhuang-wei
wega	guango-die
wega (tkaczka	guango-die
wesoły	huano-tai
wiadomość	shuang-zhan
wiara	te-teng
wielki Wóz	sou-zai
wielki człowiek	rong-wang
wielki nauczyciel	ma-chuo
wielki opiekun	ou-jiao
wierność	mo-chou
wiersz	tao-fou
wieszać	hun-long
wilgotny	shio-wai
wino	geng-peng
wkrótce	chuang-hun
wnuk	biao-deng
wojsko	qi-xiao
worek	cao-gou
wołać	bian-hen
wpaść na pomysł	ruo-ni
wpuścić	lie-xu
wrzątek	zhe-heng
wrócić	kuai-ku
wspomnienie	hui-ce
współczujący	hou-ke
współuczeń	ma-sen
wstać	xu-nong
wstrętny	dun-sa
wstęp	chan-geng
wujek	cai-ken
wujek-mistrz	kuan-kuan
wybór	pian-feng
wychodzić	nang-zhai
wydaje się	ying-shun
wyglądać na	ying-shun
wygodny	ceng-zun
wygodny	se-qi
wygłaszać	e-liao
wyjechać	sun-jin
wypytywać	nun-mie
wyraźny	cha-suo
wyrażać	mie-tang
wyrażać (uczucia	mie-tang
wyrozumiały	la-seng
wysiłek	gang-bin
wytrwałość	zhuang-en
wywodzić się	rǎo-ci
wyśmienity	o-yang
wziąć	lan-ba
wznawiać	niang-xin
wznosić	cheng-lu
wzorzec	kui-gong
wzór	nue-nou
wóz	quan-wa
wąsy	yao-ru
wędrować	lian-cong
władca	zhun-cui
władza	zong-zong
właśnie	shou-bei
yu-hua	yu-hua
z	rǎo
z, od	rǎo
za bardzo	kang-xiao
za chwilę	chuang-hun
zabrudzony	bie-jing
zachowywać	zhui-sao
zadanie	cang-jiu
zadowolenie	huano-kui
zagubienie	dia-hen
zamglony	cao-hun
zamiar	geng-heng
zanieczyszczony	bie-jing
zapał	za-qing
zapisywać	bian-deng
zaraz	chun-xue
zasłona	lie-luan
zauważyć	song-dong
zawieszać	hun-long
zazdrość	cuan-bin
zbierać	chu-pei
zbroja	dian-ben
zbyt	kang-xiao
zdenerwowany	dan-biao
zdenerwowany	nun-zhuo
zdobyć	zhu-dun
zdrowia	nuo-zong-sou
zepsuty	mou-kui
zgrubny	nano-xu
zgłaszać	fang-tou
zioła	zhao-ruo
zirytowany	dan-biao
zmartwienie	beio-zhang
zmartwienie	chuo-niang
zmęczenie	chua-gui
zmęczyłeś się	ou-ya-dun
znaczenie	kun-hong
znać	tao-kang
zniszczony	fu-mai
znudzenie	chua-gui
zobaczymy	ruo-fan-lan
zostawać	yu-fa
zrozumieć	ai-cui
zużyty	fu-mai
zużywać	zai-wu
zwiedzać	lian-cong
związek	zan-ren
zwracać uwagę	song-dong
zwykły	shuan-ei
złoty dzwon	nou-gu-nu
ćwiczyć	rang-gun
łagodny	sui-liao
łajać	cen-bu
łapać	cang-huang
łapać	seng-lou
łkać	beio-miu
łoskot	chuang-rui
łoskot	tuo-lao-suan
łuk pamiątkowy	ye-cai
łódź	ha-jing
łączyć	duo-mian
łączyć	se-si
Śledziona	mo-qi
ścigać	zhong-dian
środek	mei-chi
świat	san-wang
świątynia	kei-qu
żal	beio-mou
żałoba	beio-shuo
żołądek	kuo-jiong
życzyć sobie	wan-lang
żywy	bian-ruo
żółw i wąż	sheo-da
