CHINESE CONTAMINATION CHECK - LENGXUAN DICTIONARY
================================================================================

Date: 2026-01-28
Total codes analyzed: 2718
  gu → gu (syllable)
  gu-che → gu (syllable)
  gu-che → che (syllable)
  gu-chua → gu (syllable)
  gu-chuan → gu (syllable)
  gu-gui → gu (syllable)
  gu-rao → gu (syllable)
  gu-ruo → gu (syllable)
  gu-ruo → ruo (syllable)
  gu-shi → gu (syllable)
  gu-shi → shi (syllable)
  gu-shuo → gu (syllable)
  gu-shuo → shuo (syllable)
  gua-lan-wai → lan (syllable)
  gua-wei → wei (syllable)
  guai-pao → pao (syllable)
  guan-mou → mou (syllable)
  guan-nian → nian (syllable)
  guang-suo → suo (syllable)
  gui-lai → lai (syllable)
  gun-wan → wan (syllable)
  guo → guo (exact)
  guo → guo (syllable)
  guo-jiao → guo (syllable)
  guo-jiao → jiao (syllable)
  guo-liang → guo (syllable)
  guo-nen-zhuo → guo (syllable)
  guo-zen → guo (syllable)
  guo-zhui-zheng → guo (syllable)
  ha-mou → mou (syllable)
  ha-shui → shui (syllable)
  hai → hai (exact)
  hai → hai (syllable)
  hai-fei → hai (syllable)
  hai-jin → hai (syllable)
  hai-le → hai (syllable)
  hai-le → le (syllable)
  hai-ni → hai (syllable)
  hai-ni → ni (syllable)
  hai-pang → hai (syllable)
  hai-sai → hai (syllable)
  hai-seng → hai (syllable)
  han-hei → hei (syllable)
  hang-cheng → cheng (syllable)
  hang-di → di (syllable)
  hao → hao (exact)
  hao → hao (syllable)
  hao-chuan → hao (syllable)
  hao-gong → hao (syllable)
  hao-pu → hao (syllable)
  hao-quan → hao (syllable)
  he → he (exact)
  he → he (syllable)
  he-ceng → he (syllable)
  he-fou → he (syllable)
  he-nai → he (syllable)
  he-nai → nai (syllable)
  he-nue → he (syllable)
  he-peng → he (syllable)
  he-sang → he (syllable)
  he-she → he (syllable)
  he-shuang → he (syllable)
  he-zhuan → he (syllable)
  hei → hei (exact)
  hei → hei (syllable)
  hei-bie → hei (syllable)
  hei-pao → hei (syllable)
  hei-pao → pao (syllable)
  hei-zhan → hei (syllable)
  hei-zhan → zhan (syllable)
  heng-gao → gao (syllable)
  hong → hong (exact)
  hong → hong (syllable)
  hong-la → hong (syllable)
  hong-zen → hong (syllable)
  hou-fu → fu (syllable)
  hou-huo → huo (syllable)
  hu → hu (exact)
  hu → hu (syllable)
  hu-dou → hu (syllable)
  hu-pian → hu (syllable)
  hu-ren → hu (syllable)
  hu-ren → ren (syllable)
  hu-sui → hu (syllable)
  hu-ting → hu (syllable)
  hu-ting → ting (syllable)
  hu-wa → hu (syllable)
  hua → hua (exact)
  hua → hua (syllable)
  hua-ba → hua (syllable)
  hua-ba → ba (syllable)
  hua-ba-ba → hua (syllable)
  hua-ba-ba → ba (syllable)
  hua-ba-ba → ba (syllable)
  hua-biao → hua (syllable)
  hua-cu → hua (syllable)
  hua-kuo → hua (syllable)
  hua-lan → hua (syllable)
  hua-lan → lan (syllable)
  hua-nao → hua (syllable)
  hua-nuan → hua (syllable)
  hua-ou → hua (syllable)
  hua-ping → hua (syllable)
  hua-rang → hua (syllable)
  hua-ren → hua (syllable)
  hua-ren → ren (syllable)
  hua-sha → hua (syllable)
  hua-wei-hei → hua (syllable)
  hua-wei-hei → wei (syllable)
  hua-wei-hei → hei (syllable)
  hua-weng → hua (syllable)
  hua-ze → hua (syllable)
  hua-ze → ze (syllable)
  huai → huai (exact)
  huai → huai (syllable)
  huai-bing → huai (syllable)
  huai-luan → huai (syllable)
  huai-yu → huai (syllable)
  huai-yu → yu (syllable)
  huan-dei-long → dei (syllable)
  huang-fu → huang (syllable)
  huang-fu → fu (syllable)
  huang-gong → huang (syllable)
  huang-tang → huang (syllable)
  huang-tie → huang (syllable)
  hun-lan → lan (syllable)
  huo → huo (exact)
  huo → huo (syllable)
  huo-da → huo (syllable)
  huo-da → da (syllable)
  huo-hong → huo (syllable)
  huo-hong → hong (syllable)
  huo-jiong → huo (syllable)
  huo-pie → huo (syllable)
  ji → ji (exact)
  ji → ji (syllable)
  ji-ci → ji (syllable)
  ji-deng → ji (syllable)
  ji-diao → ji (syllable)
  ji-kai → ji (syllable)
  ji-nai → ji (syllable)
  ji-nai → nai (syllable)
  ji-tao → ji (syllable)
  ji-te → ji (syllable)
  jia-dou-che → che (syllable)
  jia-jia-fo → fo (syllable)
  jian-du → du (syllable)
  jian-yan-pei → yan (syllable)
  jian-ye → ye (syllable)
  jian-yue → yue (syllable)
  jiang-jian-zou → zou (syllable)
  jiao → jiao (exact)
  jiao → jiao (syllable)
  jiao-chou → jiao (syllable)
  jiao-fo → jiao (syllable)
  jiao-fo → fo (syllable)
  jie-fo → fo (syllable)
  jie-wu → wu (syllable)
  jie-zhi → zhi (syllable)
  jin-qi → qi (syllable)
  jin-shi → shi (syllable)
  jin-wei → wei (syllable)
  jing-gu → gu (syllable)
  jing-tian → tian (syllable)
  jiu → jiu (exact)
  jiu → jiu (syllable)
  jiu-kuang → jiu (syllable)
  jiu-long → jiu (syllable)
  jiu-shou → jiu (syllable)
  jiu-zheng → jiu (syllable)
  ju-le → le (syllable)
  ju-zhan → zhan (syllable)
  jue-hong → hong (syllable)
  jue-nian → nian (syllable)
  jue-tiao → tiao (syllable)
  jun-liu → liu (syllable)
  jun-qi → qi (syllable)
  ka-ting → ting (syllable)
  kai-du → du (syllable)
  kan → kan (exact)
  kan → kan (syllable)
  kan-duo → kan (syllable)
  kan-mou → kan (syllable)
  kan-mou → mou (syllable)
  kan-na-pi → kan (syllable)
  kan-xuan → kan (syllable)
  kan-zhuo → kan (syllable)
  kan-zou-song → kan (syllable)
  kan-zou-song → zou (syllable)
  kang-xiao → xiao (syllable)
  ke-bu → bu (syllable)
  ke-chi → chi (syllable)
  ke-nian → nian (syllable)
  ke-shuo → shuo (syllable)
  kei-qu → qu (syllable)
  ken-ting-diao → ting (syllable)
  keng-cao-gu → gu (syllable)
  keng-feng → feng (syllable)
  kou-hai → hai (syllable)
  ku-xie → xie (syllable)
  kua-suo → suo (syllable)
  kuan-ni → ni (syllable)
  kuang-jiu → jiu (syllable)
  kuang-shuo → shuo (syllable)
  kun-hong → hong (syllable)
  kun-kan → kan (syllable)
  kun-lin → lin (syllable)
  kun-zou → zou (syllable)
  kuo-che → che (syllable)
  la-ba → ba (syllable)
  lai → lai (exact)
  lai → lai (syllable)
  lai-kei → lai (syllable)
  lai-lun → lai (syllable)
  lai-zuo-ti → lai (syllable)
  lai-zuo-ti → zuo (syllable)
  lan → lan (exact)
  lan → lan (syllable)
  lan-ba → lan (syllable)
  lan-ba → ba (syllable)
  lan-deng → lan (syllable)
  lan-mai-hu → lan (syllable)
  lan-mai-hu → hu (syllable)
  lan-re → lan (syllable)
  lang-du → du (syllable)
  lao-you → you (syllable)
  le → le (exact)
  le → le (syllable)
  le-ceng → le (syllable)
  le-dang → le (syllable)
  le-hai-qian → le (syllable)
  le-hai-qian → hai (syllable)
  le-hai-qian → qian (syllable)
  le-qu → le (syllable)
  le-qu → qu (syllable)
  le-xu → le (syllable)
  lei-zhen → zhen (syllable)
  li-le → le (syllable)
  lian-reng-ren → ren (syllable)
  liang-miao → miao (syllable)
  liao-ri → ri (syllable)
  lie-de → de (syllable)
  lin → lin (exact)
  lin → lin (syllable)
  lin-pa → lin (syllable)
  lin-pen → lin (syllable)
  lin-tuo → lin (syllable)
  lin-xie-re → lin (syllable)
  lin-xie-re → xie (syllable)
  lin-zhe → lin (syllable)
  lin-zhe → zhe (syllable)
  ling-ni → ni (syllable)
  ling-nian-fo → nian (syllable)
  ling-nian-fo → fo (syllable)
  ling-zai → zai (syllable)
  liu → liu (exact)
  liu → liu (syllable)
  liu-bi → liu (syllable)
  liu-gao → liu (syllable)
  liu-gao → gao (syllable)
  liu-hu → liu (syllable)
  liu-hu → hu (syllable)
  liu-kao → liu (syllable)
  liu-reng-chen → liu (syllable)
  liu-xia → liu (syllable)
  liu-ye → liu (syllable)
  liu-ye → ye (syllable)
  liu-zhong → liu (syllable)
  liu-zu → liu (syllable)
  long-zhan → zhan (syllable)
  luan-huai → huai (syllable)
  luan-lou-de → de (syllable)
  lue-tian → tian (syllable)
  lue-zhen → zhen (syllable)
  luo-di → di (syllable)
  luo-du → du (syllable)
  luo-shuo → shuo (syllable)
  ma → ma (exact)
  ma → ma (syllable)
  ma-an → ma (syllable)
  ma-bai → ma (syllable)
  ma-bai → bai (syllable)
  ma-cha → ma (syllable)
  ma-chao → ma (syllable)
  ma-chuo → ma (syllable)
  ma-dou → ma (syllable)
  ma-ju → ma (syllable)
  ma-kuang → ma (syllable)
  ma-lu → ma (syllable)
  ma-nan → ma (syllable)
  ma-nian → ma (syllable)
  ma-nian → nian (syllable)
  ma-ren → ma (syllable)
  ma-ren → ren (syllable)
  ma-rong → ma (syllable)
  ma-sen → ma (syllable)
  ma-ti → ma (syllable)
  ma-xie → ma (syllable)
  ma-xie → xie (syllable)
  ma-zhao → ma (syllable)
  ma-zuan → ma (syllable)
  mai-bai → bai (syllable)
  man-er → er (syllable)
  man-jiu → jiu (syllable)
  man-mu → mu (syllable)
  man-song-di → di (syllable)
  mang-wei → wei (syllable)
  mao-chi → chi (syllable)
  mao-chuang → chuang (syllable)
  mao-wu → wu (syllable)
  mao-xie → xie (syllable)
  mao-yue → yue (syllable)
  mei-bu → bu (syllable)
  mei-chi → chi (syllable)
  mei-da → da (syllable)
  mei-ta → ta (syllable)
  mei-wu → wu (syllable)
  men → men (exact)
  men → men (syllable)
  men-da → men (syllable)
  men-da → da (syllable)
  men-gei → men (syllable)
  men-la → men (syllable)
  men-qia → men (syllable)
  meng-yu → yu (syllable)
  mi-ba → ba (syllable)
  mi-ba-ren → ba (syllable)
  mi-ba-ren → ren (syllable)
  mi-cun → cun (syllable)
  mi-shui → shui (syllable)
  mian-hua → hua (syllable)
  miao-ao → miao (syllable)
  miao-gu → miao (syllable)
  miao-gu → gu (syllable)
  miao-ju → miao (syllable)
  miao-ke → miao (syllable)
  miao-mai → miao (syllable)
  miao-rou-kua → miao (syllable)
  miao-seng → miao (syllable)
  miao-xin → miao (syllable)
  miao-xuan → miao (syllable)
  miao-you → miao (syllable)
  miao-you → you (syllable)
  miao-zhang → miao (syllable)
  miao-zui → miao (syllable)
  mie-ri → ri (syllable)
  min-duan → duan (syllable)
  ming-qi → qi (syllable)
  ming-shan → shan (syllable)
  ming-ta → ta (syllable)
  ming-wo → wo (syllable)
  miu-du → du (syllable)
  miu-shan → shan (syllable)
  miu-shui → shui (syllable)
  mo-qi → qi (syllable)
  mo-shan → shan (syllable)
  mo-ta → ta (syllable)
  mo-wan-huang → wan (syllable)
  mo-wan-huang → huang (syllable)
  mou → mou (exact)
  mou → mou (syllable)
  mou-ba → mou (syllable)
  mou-ba → ba (syllable)
  mou-dan → mou (syllable)
  mou-jia → mou (syllable)
  mou-jing → mou (syllable)
  mou-kang → mou (syllable)
  mou-kua → mou (syllable)
  mou-kui → mou (syllable)
  mou-lai → mou (syllable)
  mou-lai → lai (syllable)
  mou-pa → mou (syllable)
  mou-ruo-kang → mou (syllable)
  mou-ruo-kang → ruo (syllable)
  mou-sheng → mou (syllable)
  mou-tao → mou (syllable)
  mou-wen → mou (syllable)
  mu → mu (exact)
  mu → mu (syllable)
  mu-dia → mu (syllable)
  mu-hui → mu (syllable)
  mu-jiang → mu (syllable)
  mu-kao → mu (syllable)
  mu-ling → mu (syllable)
  mu-niu → mu (syllable)
  mu-pei → mu (syllable)
  mu-qun → mu (syllable)
  mu-ren → mu (syllable)
  mu-ren → ren (syllable)
  mu-song → mu (syllable)
  mu-zheng → mu (syllable)
  na-hei → hei (syllable)
  nai → nai (exact)
  nai → nai (syllable)
  nai-cen → nai (syllable)
  nai-che → nai (syllable)
  nai-che → che (syllable)
  nai-fen → nai (syllable)
  nai-ming → nai (syllable)
  nai-pian → nai (syllable)
  nai-yan → nai (syllable)
  nai-yan → yan (syllable)
  nai-zi → nai (syllable)
  nan-hong → hong (syllable)
  nan-liu → liu (syllable)
  nan-liu-li → liu (syllable)
  nan-miao → miao (syllable)
  nan-ta → ta (syllable)
  nang-qian → qian (syllable)
  nao-du → du (syllable)
  nao-guo → guo (syllable)
  ne → ne (exact)
  ne → ne (syllable)
  ne-bi → ne (syllable)
  ne-bian → ne (syllable)
  ne-chong → ne (syllable)
  ne-cuan-wo → ne (syllable)
  ne-cuan-wo → wo (syllable)
  ne-gu → ne (syllable)
  ne-gu → gu (syllable)
  ne-lai → ne (syllable)
  ne-lai → lai (syllable)
  ne-nang-ha → ne (syllable)
  ne-nei → ne (syllable)
  ne-nei → nei (syllable)
  ne-suo → ne (syllable)
  ne-suo → suo (syllable)
  ne-zha → ne (syllable)
  nei → nei (exact)
  nei → nei (syllable)
  nei-he-ren → nei (syllable)
  nei-he-ren → he (syllable)
  nei-he-ren → ren (syllable)
  nei-mei → nei (syllable)
  nei-niao → nei (syllable)
  nei-ping → nei (syllable)
  nei-sui → nei (syllable)
  nei-sun → nei (syllable)
  nei-yue → nei (syllable)
  nei-yue → yue (syllable)
  ni → ni (exact)
  ni → ni (syllable)
  ni-gu → ni (syllable)
  ni-gu → gu (syllable)
  ni-lian → ni (syllable)
  ni-tong → ni (syllable)
  nian-cai → nian (syllable)
  nian-de → nian (syllable)
  nian-de → de (syllable)
  nian-hen → nian (syllable)
  nian-pa → nian (syllable)
  nian-pu → nian (syllable)
  nian-se → nian (syllable)
  niang-chi → chi (syllable)
  niang-cun → cun (syllable)
  niang-miao → miao (syllable)
  niang-zou → zou (syllable)
  nie-he → he (syllable)
  nie-huai → huai (syllable)
  nie-nai-mai → nai (syllable)
  nie-wu → wu (syllable)
  nin-lin → lin (syllable)
  nin-tian → tian (syllable)
  nin-xie → xie (syllable)
  ning-nin-hua → hua (syllable)
  niu-qu → qu (syllable)
  niu-she-xiao → xiao (syllable)
  nong-yue → yue (syllable)
  nou-gu-nu → gu (syllable)
  nou-gu-zun → gu (syllable)
  nou-shan → shan (syllable)
  nu-lin → lin (syllable)
  nuan-duan → duan (syllable)
  nuan-shan → shan (syllable)
  nue-qi → qi (syllable)
  nue-wu → wu (syllable)
  nue-ze → ze (syllable)
  nun-jiao → jiao (syllable)
  nun-men → men (syllable)
  nuo-er → er (syllable)
  o-chang → chang (syllable)
  ou-jiao → jiao (syllable)
  pa-xie → xie (syllable)
  pai-huai → huai (syllable)
  pai-yu → yu (syllable)
  pan-nei → nei (syllable)
  pan-ren-liang → ren (syllable)
  pao → pao (exact)
  pao → pao (syllable)
  pao-he → pao (syllable)
  pao-he → he (syllable)
  pen-de → de (syllable)
  pen-ne → ne (syllable)
  pi-guo → guo (syllable)
  pi-ri → ri (syllable)
  pi-shan-zha → shan (syllable)
  pi-yu → yu (syllable)
  pian-er → er (syllable)
  pian-feng → feng (syllable)
  pian-jiu → jiu (syllable)
  pian-she-nei → nei (syllable)
  pian-zuo → zuo (syllable)
  pin-ba → ba (syllable)
  pin-lai-huai → lai (syllable)
  pin-lai-huai → huai (syllable)
  pu-feng → feng (syllable)
  pu-miao → miao (syllable)
  qi → qi (exact)
  qi → qi (syllable)
  qi-chuan → qi (syllable)
  qi-kai → qi (syllable)
  qi-kuai → qi (syllable)
  qi-niao → qi (syllable)
  qi-ning → qi (syllable)
  qi-pang → qi (syllable)
  qi-xi → qi (syllable)
  qi-xiao → qi (syllable)
  qi-xiao → xiao (syllable)
  qia-fo → fo (syllable)
  qia-hai → hai (syllable)
  qian-chong → qian (syllable)
  qian-heng → qian (syllable)
  qian-jiang → qian (syllable)
  qian-mang → qian (syllable)
  qian-shen → qian (syllable)
  qian-wen → qian (syllable)
  qian-zang → qian (syllable)
  qian-zi-run → qian (syllable)
  qie-bu → bu (syllable)
  qie-you → you (syllable)
  qin-dei → dei (syllable)
  qu → qu (exact)
  qu → qu (syllable)
  qu-ben → qu (syllable)
  qu-ci → qu (syllable)
  qu-pao → qu (syllable)
  qu-pao → pao (syllable)
  qu-san → qu (syllable)
  qu-san → san (syllable)
  qu-xiao → qu (syllable)
  qu-xiao → xiao (syllable)
  qu-yang → qu (syllable)
  qu-yuan → qu (syllable)
  qu-yue → qu (syllable)
  qu-yue → yue (syllable)
  qu-zhan → qu (syllable)
  qu-zhan → zhan (syllable)
  qu-zhen → qu (syllable)
  qu-zhen → zhen (syllable)
  qu-zhou → qu (syllable)
  que-wu-chou → wu (syllable)
  que-xiao → xiao (syllable)
  que-ye → ye (syllable)
  rao-nian → nian (syllable)
  re-nai → nai (syllable)
  ren → ren (exact)
  ren → ren (syllable)
  ren-ban → ren (syllable)
  ren-da-chun → ren (syllable)
  ren-da-chun → da (syllable)
  ren-liang → ren (syllable)
  ren-nong → ren (syllable)
  ren-re → ren (syllable)
  ren-shui → ren (syllable)
  ren-shui → shui (syllable)
  reng-xue → xue (syllable)
  ri → ri (exact)
  ri → ri (syllable)
  ri-dai → ri (syllable)
  ri-pie → ri (syllable)
  ri-qian-nei → ri (syllable)
  ri-qian-nei → qian (syllable)
  ri-qian-nei → nei (syllable)
  ri-xu → ri (syllable)
  ri-xun → ri (syllable)
  ri-zan → ri (syllable)
  rong-bai → bai (syllable)
  rong-ji → ji (syllable)
  ru-gu → gu (syllable)
  rui-huang → huang (syllable)
  run-hai → hai (syllable)
  run-ting → ting (syllable)
  ruo → ruo (exact)
  ruo → ruo (syllable)
  ruo-dao → ruo (syllable)
  ruo-fan-lan → ruo (syllable)
  ruo-fan-lan → lan (syllable)
  ruo-ni → ruo (syllable)
  ruo-ni → ni (syllable)
  ruo-nie → ruo (syllable)
  ruo-tuan → ruo (syllable)
  ruo-zei → ruo (syllable)
  ruo-zheng → ruo (syllable)
  sa-dei → dei (syllable)
  sa-liu → liu (syllable)
  san → san (exact)
  san → san (syllable)
  san-chuo → san (syllable)
  san-wang → san (syllable)
  san-wo → san (syllable)
  san-wo → wo (syllable)
